DATA , ARBLIV , 1
ENG , DANSK , 15
ENG , DATA , 2
FILO , ARBLIV , 3
FILO , DANSK , 26
FILO , DATA , 5
FILO , ENG , 3
FYSIK , DATA , 8
FYSIK , ENG , 1
FYSIK , FILO , 3
GEO , ARBLIV , 2
GEO , DATA , 1
GEO , FILO , 4
HIST , ARBLIV , 1
HIST , DANSK , 36
HIST , ENG , 22
HIST , FILO , 38
HIST , FYSIK , 1
HIST , GEO , 18
INFORMATIK , ARBLIV , 4
INFORMATIK , DATA , 136
INFORMATIK , ENG , 1
INFORMATIK , FILO , 4
IS , ENG , 9
IS , GEO , 29
IS , HIST , 14
JOURNALIST , ARBLIV , 3
JOURNALIST , DANSK , 40
JOURNALIST , DATA , 6
JOURNALIST , ENG , 2
JOURNALIST , FILO , 7
JOURNALIST , FYSIK , 3
JOURNALIST , GEO , 12
JOURNALIST , HIST , 31
JOURNALIST , INFORMATIK , 21
JOURNALIST , IS , 62
KEMI , DATA , 1
KEMI , FYSIK , 7
KEMI , GEO , 1
KOMM , ARBLIV , 71
KOMM , DANSK , 179
KOMM , DATA , 15
KOMM , ENG , 49
KOMM , FILO , 15
KOMM , GEO , 12
KOMM , HIST , 27
KOMM , INFORMATIK , 141
KOMM , IS , 51
KOMM , JOURNALIST , 112
KOMM , KEMI , 1
KULTUR , ARBLIV , 1
KULTUR , DANSK , 13
KULTUR , ENG , 47
KULTUR , FILO , 22
KULTUR , GEO , 20
KULTUR , HIST , 28
KULTUR , IS , 125
KULTUR , JOURNALIST , 29
KULTUR , KOMM , 191
MAT , DANSK , 1
MAT , DATA , 14
MAT , FYSIK , 27
MAT , KEMI , 8
MEDBIO , FYSIK , 1
MEDBIO , JOURNALIST , 3
MEDBIO , KEMI , 19
MEDBIO , KOMM , 1
MEDBIO , MAT , 1
MILBIO , DATA , 2
MILBIO , FYSIK , 1
MILBIO , GEO , 10
MILBIO , IS , 2
MILBIO , JOURNALIST , 3
MILBIO , KEMI , 7
MILBIO , KULTUR , 1
MILBIO , MAT , 1
MILBIO , MEDBIO , 8
MOLBIO , DATA , 4
MOLBIO , KEMI , 58
MOLBIO , KOMM , 1
MOLBIO , MAT , 1
MOLBIO , MEDBIO , 152
MOLBIO , MILBIO , 21
PA , ARBLIV , 2
PA , DANSK , 3
